lemma,pos1,anxiety
year,n,-0.1654015639
crumb,n,-0.1653219773
crystal,a,-0.1651747108
note,n,-0.1651051753
sentencing,n,-0.164794112
muster,v,-0.1646421243
pray,v,-0.1644936002
counterterrorism,n,-0.1644818768
underscore,v,-0.1642719682
packaging,n,-0.164045684
preference,n,-0.1638474812
votable,a,-0.1636660902
donation,n,-0.1636529023
summary,n,-0.1636421098
provincial,a,-0.1635870021
dissemination,n,-0.1635608486
gst,n,-0.163558183
supplier,n,-0.1635455208
task,v,-0.1634150594
fashion,v,-0.1633570853
shelter,n,-0.1633138132
management,n,-0.1632685971
demand,n,-0.1632625425
informant,n,-0.1631301727
grand,a,-0.1630622768
closer,a,-0.1630515243
claim,v,-0.1630316211
chartered,a,-0.162841121
competitiveness,n,-0.1627464166
domestic,a,-0.1626797134
co-operating,a,-0.1626333867
ally,n,-0.1624652956
as,r,-0.1622589444
transfer,n,-0.1622121437
persevere,v,-0.1621896608
shine,v,-0.1616854514
thrive,v,-0.1616338787
lever,n,-0.1616005351
member,n,-0.161306799
foremost,r,-0.161295702
laudatory,a,-0.1612693013
strict,a,-0.1612524027
unanimity,n,-0.1611160084
mediator-arbitrator,n,-0.1610574324
preface,n,-0.1609966561
ber,n,-0.1608851999
commemorative,a,-0.1607653231
cooperatively,r,-0.1605750976
trading,n,-0.1605296239
airstrip,n,-0.1605076887
hard-earned,a,-0.1604115823
short,a,-0.160391588
creator,n,-0.1603826172
photographic,a,-0.1602533577
laurel,n,-0.160205302
expunge,v,-0.160175547
start,n,-0.1601682532
snack,n,-0.1599462956
construct,v,-0.1598979962
paramountcy,n,-0.1597023477
bank,n,-0.1596563997
body,n,-0.1594275615
lodge,n,-0.1593804808
remember,v,-0.1593743236
handful,n,-0.1593008505
respects,n,-0.1592306747
finding,n,-0.1591367041
bet,n,-0.1590577949
commonwealth,n,-0.1589690201
interest,n,-0.1589197529
competence,n,-0.1587599768
warden,n,-0.1586448711
fourth,a,-0.158521926
more,r,-0.1583195534
first-rate,a,-0.1583010236
participatory,a,-0.1581912968
everybody,n,-0.1581337956
permission,n,-0.1579737346
acquire,v,-0.157731027
anti-corruption,a,-0.157643738
indicate,v,-0.1574691157
yea,n,-0.1574512981
congratulation,n,-0.157419054
latter,a,-0.1571758194
preventative,a,-0.1570093713
compete,v,-0.1569971411
caucus,n,-0.156971284
identification,n,-0.1568755117
clothe,v,-0.1568530589
briefing,n,-0.1566771749
import,n,-0.1566484091
mediator,n,-0.1566216883
charity,n,-0.1565896076
intelligence,n,-0.1565624429
decision,n,-0.1565608154
module,n,-0.1564960281
investigative,a,-0.1564620034
aspire,v,-0.1562862187
wooden,a,-0.1562493914
so-called,a,-0.1561032182
civility,n,-0.1560596795
file,v,-0.1559740282
legal,a,-0.1559462183
community,n,-0.1558865554
other,a,-0.1558405801
hallmark,n,-0.1558378017
wealth,n,-0.1557694386
colourful,a,-0.1557197147
single,a,-0.1556424571
own,a,-0.1556198919
express,a,-0.1555536971
purview,n,-0.1555363804
enlightenment,n,-0.1553977725
lower,v,-0.1553648819
garnishee,v,-0.1553060934
sincerity,n,-0.1550031474
glove,n,-0.1549726844
board,n,-0.1548622202
bid,n,-0.154334456
ideal,a,-0.1542805524
multi-party,a,-0.1539983775
staff,v,-0.1538671416
alone,a,-0.1537511568
translate,v,-0.153661481
in-house,a,-0.1536535602
disposition,n,-0.153588681
qualify,v,-0.1535531312
stature,n,-0.153506437
whatsoever,r,-0.153205639
attribution,n,-0.1531180633
agricultural,a,-0.1531117247
play,v,-0.1530031112
selfgovernment,n,-0.1529169917
trained,a,-0.1527937844
revamp,v,-0.1526465028
ramp,n,-0.1526322865
explanatory,a,-0.1525679585
equally,r,-0.1524875988
convincing,a,-0.1523741076
tripartite,a,-0.1522121604
accord,v,-0.1521488944
eloquent,a,-0.1520781792
indication,n,-0.1520166118
judge,n,-0.1519574641
apprenticeship,n,-0.1517723454
hire,v,-0.1517117613
henceforth,r,-0.1516541297
museum,n,-0.1516503626
cleanest,a,-0.1516355431
specimen,n,-0.1516180738
general,a,-0.1513147805
goody,n,-0.1512744514
refusal,n,-0.1512159254
director,n,-0.1510734001
phase,n,-0.1510500847
sir,n,-0.1509958396
reparation,n,-0.1508149694
content,n,-0.1506262636
proponent,n,-0.1505081606
team,n,-0.1504004188
brotherhood,n,-0.150341412
patriate,v,-0.1503061846
demonstrable,a,-0.1501922804
cogent,a,-0.1501512396
reject,v,-0.1500300992
job-creation,n,-0.1498893824
forceful,a,-0.1498075585
dtc,n,-0.1497865455
conclusive,a,-0.1497749039
mind,v,-0.149766056
experience,n,-0.1497319119
energy-efficient,a,-0.1496440352
title,n,-0.1492669813
rehabilitative,a,-0.1491156865
again,r,-0.149094211
write-off,n,-0.1490456631
medal,n,-0.1490426156
alternate,a,-0.1490298245
mediation,n,-0.1490188505
admire,v,-0.1489513965
explicitly,r,-0.1486223853
own,v,-0.1485362221
relatively,r,-0.1485208424
wording,n,-0.1484792328
richly,r,-0.1484289069
ballot,n,-0.1484243235
watchword,n,-0.1483913683
negotiation,n,-0.148323115
verbatim,a,-0.1481908731
highest,a,-0.14816623
bright,a,-0.1479333396
thrust,n,-0.147844752
unveil,v,-0.1478171515
transition,n,-0.1476281376
alone,r,-0.1474940821
submission,n,-0.1471623363
aside,r,-0.1471573742
withdraw,v,-0.1471293847
therein,r,-0.1470916414
spending,n,-0.1469600167
recompense,n,-0.1466924056
old,a,-0.146503404
hardwork,v,-0.146475012
heed,v,-0.1464292367
light,n,-0.1462943616
stage,n,-0.1462842286
exception,n,-0.1462032625
sky,n,-0.1462006381
worship,n,-0.1461412799
tidy,a,-0.1459854042
accrue,v,-0.1458440251
originally,r,-0.1457738359
loving,a,-0.1457557276
box,n,-0.1457071658
quote,v,-0.1455939423
shalt,m,-0.1455038558
land,n,-0.1454997918
modification,n,-0.1454716362
receivable,n,-0.1453558938
longstanding,a,-0.1449895294
compliment,v,-0.1448760729
adjust,v,-0.1448365223
groundwork,n,-0.1448098676
abolition,n,-0.1446352972
reconstitute,v,-0.1445057033
refuge,n,-0.1443941803
yes,r,-0.1443811161
living,n,-0.1442527629
non-proliferation,a,-0.1440613931
interpretation,n,-0.1440446547
contribute,v,-0.1440442518
closely,r,-0.1440176814
crown,n,-0.1439287676
correct,v,-0.1439076631
total,v,-0.1438619447
resounding,a,-0.1437915055
tooth,n,-0.1437466316
seven-year,a,-0.1436760546
gentleman,n,-0.14344303
usage,n,-0.1434185022
judiciary,n,-0.143298644
broker,n,-0.1430001635
dairy,n,-0.142935778
perform,v,-0.1428768932
idea,n,-0.1428648733
remark,n,-0.1428637863
resume,v,-0.1428122209
company,n,-0.1424815736
encouraging,a,-0.1424746571
reconcile,v,-0.1423777199
park,n,-0.1423667179
present,v,-0.1422282743
applied,a,-0.1422082575
name,n,-0.1421183504
tie,n,-0.1420721825
plenty,n,-0.1420052728
address,n,-0.1419518437
contrary,a,-0.141783627
minimum,a,-0.1417520031
order,v,-0.1417042305
pre-retirement,a,-0.1415979332
opinion,n,-0.1415716931
regenerate,v,-0.1414928412
technology,n,-0.1412980076
complimentary,a,-0.1412557298
crony,n,-0.1412029585
police,v,-0.1411812042
safely,r,-0.1411441102
bar,n,-0.1409715744
bureau,n,-0.1409538292
creditor,n,-0.1407837977
mention,v,-0.1406368727
much,r,-0.1405985158
interpret,v,-0.1405978127
stellar,a,-0.1405649815
namely,r,-0.1405521865
anything,n,-0.1405433842
sunshine,n,-0.140491061
vaccine,n,-0.1403395719
size,v,-0.140124618
court,n,-0.1401010486
token,a,-0.1400295868
objectivity,n,-0.1399716926
enjoyment,n,-0.1398269029
expert,n,-0.1397831923
carriage,n,-0.1397099674
splitting,n,-0.1396752934
companion,n,-0.1396066363
relent,v,-0.1395925614
minimum,n,-0.1395599926
crack,v,-0.1395351574
agriculture,n,-0.1395199659
armour,n,-0.1392912803
depend,v,-0.1391694723
definition,n,-0.1391352382
anniversary,n,-0.1390964373
cherry-pick,v,-0.1390817221
frank,a,-0.1390754326
last,a,-0.1390206622
documentary,n,-0.1389106172
agreed,n,-0.1387479084
egalitarian,a,-0.1385096601
diversification,n,-0.1383491138
allotment,n,-0.1382615774
dovetail,v,-0.1382539468
longer,a,-0.1381140042
current,a,-0.1381100009
leaner,a,-0.1381030554
attendance,n,-0.138057823
governor,n,-0.1380384166
outcome,n,-0.1380321035
evolution,n,-0.1380253268
lighthouse,n,-0.1379930857
ceremony,n,-0.1379124939
on-reserve,a,-0.1379086173
self-determination,n,-0.1378758732
rekindle,v,-0.1378454734
abreast,n,-0.1378174457
sealer,n,-0.1377306758
upgrade,v,-0.137479014
couple,n,-0.1374311601
deliberative,a,-0.1373220288
draft,v,-0.1373205712
funded,a,-0.1372081806
theirs,a,-0.1370672172
processor,n,-0.1369066997
candidate,n,-0.1368462875
effect,v,-0.1367119177
rehabilitate,v,-0.136678015
culture,n,-0.1366017955
facie,n,-0.1364725607
ombudsman,n,-0.1361976048
equal,v,-0.1360081558
elegant,a,-0.1359663085
professionalism,n,-0.1359533141
unlock,v,-0.1356061288
competitively,r,-0.1355899292
reputation,n,-0.1354121809
maturity,n,-0.1353940067
high-income,a,-0.1352076354
leverage,n,-0.1349051712
airing,n,-0.1348090747
advancement,n,-0.1347556641
signing,n,-0.1344331123
accolade,n,-0.1342764867
miraculous,a,-0.134185482
pay,v,-0.1341553102
adjusted,a,-0.1341315611
ticket,v,-0.1341254675
personal,a,-0.1339915641
fabulous,a,-0.1338300604
kindly,r,-0.1337973142
half-baked,a,-0.133771467
predicate,v,-0.1337442056
fill,v,-0.1336937122
farewell,n,-0.1334462215
incompatible,a,-0.1334363312
kind,a,-0.133363287
seaboard,n,-0.1332437572
merit,n,-0.1330225222
sincere,a,-0.1330170844
candid,a,-0.1329495652
jurisdiction,n,-0.1329027377
average,v,-0.1328959807
luc,n,-0.1325411154
power,n,-0.1325053008
loyal,a,-0.1323764506
federalism,n,-0.1323656963
field,n,-0.1321744053
thereafter,r,-0.1321111142
certain,a,-0.1318549904
obligate,a,-0.131701137
reintegration,n,-0.1315750996
seventh,a,-0.1313387357
opposite,a,-0.1312850438
easy,a,-0.1312525172
revitalization,a,-0.1312085628
man,n,-0.1311541215
carte,n,-0.1311107424
structure,n,-0.1311088679
pace,n,-0.1309304168
betterment,n,-0.1309087388
periodical,a,-0.1308182995
food,n,-0.1307097598
modem,n,-0.1306855689
correctly,r,-0.1306117958
letter,n,-0.1306096753
employer,n,-0.1304232708
aboriginal,a,-0.130367888
soundest,a,-0.1300508924
council,n,-0.1299225855
offering,n,-0.129890251
making,n,-0.1298865345
diversified,a,-0.1298324894
pharmaceutical,a,-0.1295178662
further,r,-0.1295116393
emphasis,n,-0.1294892997
launch,n,-0.12941304
monument,n,-0.129366206
worth,n,-0.1292662136
pre-tax,a,-0.1291649627
tell,v,-0.1291449505
specify,v,-0.1290241165
third,n,-0.1289564562
plug,v,-0.1288775641
conditional,a,-0.1287228627
well,r,-0.1286750364
ceiling,n,-0.1286575606
financially,r,-0.128647327
functional,a,-0.1286101189
listen,v,-0.1285906201
modify,v,-0.1284906272
agri-bond,n,-0.1284549659
suggest,v,-0.1284547676
name,v,-0.1283490198
ever,r,-0.1283448972
residential,a,-0.1282183674
in-depth,a,-0.1281744937
product,n,-0.1281383435
one-third,a,-0.1280563414
anti-dumping,a,-0.1280508038
esteem,v,-0.1280387151
watchdog,n,-0.1279552883
analysis,n,-0.1279206816
skater,n,-0.1278811713
total,a,-0.1278079072
festival,n,-0.127798349
protective,a,-0.1277446199
confession,n,-0.1275026929
adjective,n,-0.1273728122
adhering,a,-0.127320835
family,n,-0.1273184389
render,v,-0.1272627371
veracity,n,-0.1271877904
vest,v,-0.1271074691
closing,n,-0.1270336142
extensive,a,-0.1270116489
closest,a,-0.1268061446
customary,a,-0.1267552795
self-reliant,a,-0.1265606404
alive,a,-0.1265566176
direct,v,-0.1265435201
indisputable,a,-0.126538373
integration,n,-0.1264603682
answer,v,-0.1264133741
devotion,n,-0.126345626
resp,n,-0.1263059856
longer-term,a,-0.1262213755
self-respect,n,-0.1261621495
expectation,n,-0.1261348086
timeframe,n,-0.126018008
flesh,v,-0.126014979
sailing,n,-0.1260009157
patent,n,-0.1259746974
multilateral,a,-0.1259153917
sportsmanship,n,-0.1259128706
supplies,n,-0.125744307
well-paying,a,-0.1257393415
well-trained,a,-0.1256727422
go-ahead,n,-0.1256406216
debenture,n,-0.1256400053
percent,n,-0.1254919803
medicine,n,-0.1253775311
waiver,n,-0.1252742188
brand,n,-0.1252093525
acclaim,n,-0.1248597184
repay,v,-0.124731994
rowing,n,-0.1246940377
palliative,n,-0.1246799848
legitimacy,n,-0.1245996768
wider,a,-0.1245267447
advise,v,-0.1244172117
mention,n,-0.1243983564
defer,v,-0.1243473994
practicable,a,-0.124171563
victory,n,-0.1241436756
glowing,a,-0.123947975
fingerprint,n,-0.1238631522
deduction,n,-0.1237827998
colonel,n,-0.1237589891
package,v,-0.123737867
route,n,-0.1237330669
end-of-life,n,-0.1237057394
supremacy,n,-0.1235890025
earlier,r,-0.1235620697
jury,n,-0.1235493363
unaccountable,a,-0.1232727925
sacrifice,n,-0.1231386644
report,n,-0.1229751392
sovereign,a,-0.1227761611
referral,n,-0.122752046
utilization,n,-0.1224276022
level,a,-0.1223853768
work-sharing,n,-0.122358077
destination,n,-0.1222708017
pass,n,-0.122221671
shortly,r,-0.1220564081
p.,n,-0.1220289692
export,n,-0.1220087162
insight,n,-0.1219487313
diplomacy,n,-0.1217402713
resolve,v,-0.1217363813
jeanne-le,a,-0.1216897164
revere,v,-0.1216070432
less,a,-0.1215712722
fare,n,-0.1215113066
entrepreneurial,a,-0.1214824668
exclusive,a,-0.121479505
subsequent,a,-0.1214763276
transit,n,-0.1214352658
entrepreneur,n,-0.1213819081
little,r,-0.1213013724
reproach,n,-0.1212023935
lo,n,-0.1210190909
autonomous,a,-0.1209925091
road,n,-0.1209545779
retrain,v,-0.1209435009
exporter,n,-0.120911133
unsecured,a,-0.1207517379
registration,n,-0.1205943941
linguistic,a,-0.1205370775
sharper,a,-0.1204568458
capable,a,-0.1204208967
refund,n,-0.1204167381
advocate,v,-0.1202879442
sage,n,-0.1202630009
manufacturer,n,-0.1202554179
upcoming,a,-0.1201487675
space,n,-0.1201422792
virtually,r,-0.1201197143
decide,v,-0.1200608296
jointly,r,-0.1199767204
broadcaster,n,-0.1199760853
get,v,-0.1199491351
journalistic,a,-0.1199409345
stop-gap,a,-0.1198663435
payer,n,-0.1198536134
laid-off,a,-0.1198406206
reintroduction,n,-0.1198089009
autonomy,n,-0.1197995349
election,n,-0.1197131414
m,n,-0.1196957433
sooner,r,-0.1196473212
net,a,-0.1195922102
negotiating,n,-0.1194056864
admissible,a,-0.1193371812
view,n,-0.1192223226
response,n,-0.1192027762
diverse,a,-0.1191955132
redeem,v,-0.1190487303
lay,v,-0.1190198263
script,n,-0.1189070498
rationale,n,-0.1187967444
patented,a,-0.1186394693
sector-by-sector,a,-0.1185517216
overwhelmingly,r,-0.1185301946
ago,r,-0.1185174687
specifically,r,-0.1184297987
relax,v,-0.1182468395
magnificent,a,-0.1182048293
judicial,a,-0.1181815728
merely,r,-0.1181776241
otherwise,r,-0.1181541331
steamroll,v,-0.1181419737
biosafety,n,-0.1180250936
long,r,-0.1178797397
consolidated,a,-0.1177580167
read,v,-0.1177178327
carve,v,-0.117613458
gathering,n,-0.1174480013
thankful,a,-0.1173742549
advisement,n,-0.1171795832
feasible,a,-0.1171292126
efficacy,n,-0.1170606499
nutrition,n,-0.117053553
qualification,n,-0.116961732
individual,n,-0.1165449265
look,n,-0.11651994
mockery,n,-0.1162238456
general,n,-0.1161956853
series,n,-0.1161845288
universality,n,-0.1159565719
vium,n,-0.1159404796
self-governance,n,-0.1158695771
earlier,a,-0.1157222242
unamended,a,-0.1156664289
indivisible,a,-0.1153183293
property,n,-0.1152601736
vast,a,-0.115061443
nurturing,n,-0.1148559289
usual,a,-0.1147502827
cpp,n,-0.1146581223
staff,n,-0.1145437978
trade,n,-0.1145432037
process,v,-0.1144045254
herbal,a,-0.1143654043
umbrella,n,-0.1143557418
minute,n,-0.1143531998
midwife,n,-0.1142057816
debate,v,-0.1141435012
conventional,a,-0.1138429228
nominating,a,-0.1138216019
level,n,-0.1136504962
supplemental,a,-0.1135835092
preliminary,a,-0.1135664746
well-connected,a,-0.1135203609
premise,n,-0.1134720447
grain,n,-0.1134281575
sponsorship,n,-0.1132821515
assessor,n,-0.1132406625
quickly,r,-0.113219807
premise,v,-0.113210483
athletic,a,-0.1131053916
warrantless,a,-0.1130988046
salary,n,-0.1130242884
arbiter,n,-0.1129045073
glimmer,n,-0.1128916826
prima,n,-0.1128807382
elected,a,-0.1127083766
municipality,n,-0.1126806215
podium,n,-0.112622419
enrichment,n,-0.1125970235
thoroughness,n,-0.1125570848
bang,n,-0.1124502076
tentative,a,-0.1121884242
liberalization,n,-0.1121692056
endeavour,n,-0.1121243376
governement,n,-0.1121179307
adage,n,-0.1120234344
equip,v,-0.1119737691
wherewithal,a,-0.1118409703
resettle,v,-0.1116336728
finality,n,-0.1115180898
rediscover,v,-0.1114592443
binder,n,-0.1113401487
allot,v,-0.1112358083
sixth,a,-0.1110865548
fast,r,-0.1110205685
sitting,n,-0.1109666341
red,a,-0.1108856696
legislated,a,-0.1108294072
scrutinize,v,-0.1106300589
add,v,-0.1106055016
salute,v,-0.1106003712
worth-while,a,-0.1102559872
beautiful,a,-0.1101137354
eminent,a,-0.1100655545
beef,n,-0.1096910686
intergovernmental,a,-0.1096215117
fiscally,r,-0.1095607331
earmark,v,-0.1095569727
care,n,-0.1093530367
front,n,-0.1093342509
thing,n,-0.1093297833
unimpeded,a,-0.1092011385
borrowing,n,-0.1091984755
link,n,-0.1091412814
north,a,-0.1091087116
cirb,n,-0.1090667818
entitlement,n,-0.1090352771
construction,n,-0.10898845
non-renewable,a,-0.1089865215
completely,r,-0.1089627971
pensionable,a,-0.1087298162
footstep,n,-0.1087199539
accelerated,a,-0.1086885053
subject,a,-0.1086751408
regard,v,-0.1086235755
remembered,a,-0.1086167614
icao,n,-0.1085753375
carefully,r,-0.1084561778
few,a,-0.1084064365
match,n,-0.1083981014
authorization,n,-0.1081581439
gentle,a,-0.1081397409
jubilee,n,-0.1081052371
exact,a,-0.1078461734
thoroughly,r,-0.1078371919
possess,v,-0.1077323468
glean,v,-0.1077166133
filing,n,-0.1076988709
unfulfilled,a,-0.1076987706
bated,a,-0.1076796264
timeline,n,-0.1076307004
computation,n,-0.1075760252
local,a,-0.107514407
faint,a,-0.1074902397
cheaper,a,-0.1074004992
meaningless,a,-0.1073926032
carrot,n,-0.10738593
mitigation,n,-0.1073062984
phase-out,n,-0.1072708442
stamp,v,-0.107099412
recollect,v,-0.1070916717
decisively,r,-0.1070525331
matter,n,-0.1069139458
discretionary,a,-0.1068794567
senate,n,-0.1068313876
elector,n,-0.1067760927
small,a,-0.1067590537
exit,n,-0.106730972
integrate,v,-0.1065989037
hard,r,-0.1065724738
hearty,a,-0.1065054055
elouse,n,-0.1063280523
assembly,n,-0.1061627154
gear,v,-0.1061450248
thereby,r,-0.1061148967
beneficiary,n,-0.1061123492
vendor,n,-0.1059670225
override,n,-0.1058572625
schedule,n,-0.105836649
ceasefire,n,-0.1057627217
blueprint,n,-0.1057006726
meritorious,a,-0.1056625138
unnamed,a,-0.1056358433
budget,v,-0.1055421727
work-sharing,a,-0.105531706
prescribe,v,-0.1054468292
accede,v,-0.1054343675
regulate,v,-0.1054054401
portfolio,n,-0.1052200516
basically,r,-0.1051923028
spend,v,-0.104853052
fast-tracked,a,-0.1047779733
articulate,v,-0.1047619549
mind,n,-0.1046599503
target,v,-0.104603408
standardized,a,-0.1045840132
simplification,n,-0.1044683426
indemnity,n,-0.1043838851
usable,a,-0.1043062278
drafter,n,-0.1041583557
break,n,-0.1040929095
smart,a,-0.1039766325
reimburse,v,-0.1039596833
defensible,a,-0.1039374958
cultural,a,-0.103895285
revisit,v,-0.1038746135
impunity,n,-0.1038661208
define,v,-0.1036441013
position,v,-0.1033767395
personally,r,-0.1031794414
urine,n,-0.1031783783
justly,r,-0.1031626604
high-wage,a,-0.1031574051
devote,v,-0.1030973243
marriage,n,-0.1030443912
reminder,n,-0.1029504347
rewrite,v,-0.1029318551
inalienable,a,-0.1027990549
reconsideration,n,-0.102779011
poppy,n,-0.1026965868
pittance,n,-0.1026634866
yesterday,n,-0.1026548695
multicultural,a,-0.1026317674
public,n,-0.1026005931
definitely,r,-0.1025031016
greet,v,-0.1024947342
monthly,a,-0.1023010781
maximize,v,-0.1022665856
bronze,n,-0.1021552471
selective,a,-0.1018930061
sequestration,n,-0.1018899923
privilege,n,-0.1018894181
long-gun,n,-0.1017943689
fast,a,-0.1017654826
energetic,a,-0.1017609462
format,n,-0.1017374066
refund,v,-0.1017314398
pilot,n,-0.1017129301
holiday,n,-0.1017025235
reward,n,-0.1016479221
champion,n,-0.1015442344
amount,n,-0.1014762243
ray,n,-0.1014500014
treasury,n,-0.1014425562
reconstruction,n,-0.1014136138
reciprocity,n,-0.1014061392
cent,n,-0.1013905751
memorandum,n,-0.1013699575
plan,v,-0.1013218496
contrast,n,-0.1012906786
jurisprudence,n,-0.1010845082
forwarding,n,-0.1010573314
pipeline,n,-0.1010319619
office,n,-0.1009640109
post-doctoral,a,-0.1009120483
humanitarian,a,-0.1008830072
supporter,n,-0.1008644831
think,v,-0.1005999629
context,n,-0.1005396557
house,n,-0.1003667569
conscience,n,-0.1003599352
air,n,-0.1003486428
market,n,-0.1003325214
healthcare,n,-0.100275662
optimum,a,-0.1002102986
hangar,n,-0.10010297
sweeten,v,-0.1000394183
surprisingly,r,-0.1000242145
fishery,n,-0.0999854427
categorical,a,-0.0998590252
workforce,n,-0.0995577992
day,n,-0.0995208666
v,n,-0.0995015716
unique,a,-0.0993980233
firearm,n,-0.0993778435
irap,n,-0.0993602053
nomination,n,-0.0993424646
concession,n,-0.0993424572
unmistakable,a,-0.0992296891
conversion,n,-0.098988934
liberal,n,-0.0989736057
pursuant,a,-0.0987517476
unit,n,-0.0987464729
ncc,n,-0.0986999461
negotiator,n,-0.0986797475
provider,n,-0.0986732671
variety,n,-0.0984927794
re-election,n,-0.0984137428
reinstitute,v,-0.0983754907
pat,n,-0.0982809385
join,v,-0.0982591324
refine,v,-0.098253183
simulator,n,-0.0980584984
former,a,-0.0980414164
wage,n,-0.0979098506
ours,a,-0.0974822341
port,n,-0.0974517134
epf,n,-0.0974510131
tougher,a,-0.0974143179
threshold,n,-0.0973957163
normal,a,-0.0973272041
shipbuilder,n,-0.0972662208
copyright,v,-0.0972348634
therapeutic,a,-0.0970940427
explosive,n,-0.0970921883
exhibit,n,-0.0970493218
identical,a,-0.0968814615
intellect,n,-0.0967045509
job,n,-0.0966495174
blank,n,-0.0966471394
week,n,-0.0966336051
portable,a,-0.0964974974
expend,v,-0.0964949407
ordinarily,r,-0.0964769098
recite,v,-0.0964475213
accountant,n,-0.0964331231
repatriate,v,-0.0963950881
dynamism,n,-0.0963819472
newer,a,-0.0963554401
convey,v,-0.0962998317
five-point,a,-0.0962513774
railroad,n,-0.0962512321
belong,v,-0.0961779186
declaratory,a,-0.0961306588
effectiveness,n,-0.0961172504
compass,n,-0.0961042801
access,v,-0.0960973554
advisory,a,-0.0960959268
deprive,v,-0.0960103029
edc,n,-0.0959785521
science-based,a,-0.0959676315
vintner,n,-0.0959636417
de-indexation,n,-0.0959344018
lifetime,n,-0.0959127349
airfare,n,-0.0958922047
k,n,-0.0957531617
signify,v,-0.09570588
resource,v,-0.0956711842
traveller,n,-0.0955613756
use,v,-0.0954957757
time-honoured,a,-0.0954400819
meat,n,-0.0953133224
presenter,n,-0.0953038744
long-tenured,a,-0.095269359
update,n,-0.0952687994
privately,r,-0.0952189178
funeral,n,-0.0951769665
reaffirmation,n,-0.095146332
suspend,v,-0.0951004515
discretion,n,-0.0950573689
inclusiveness,n,-0.0949925373
identity,n,-0.0948620162
net,n,-0.0948596387
two-parent,a,-0.0948126843
judgment,n,-0.0948091803
working,n,-0.0947797769
simply,r,-0.0947312106
sanitation,n,-0.0946825591
language,n,-0.0946102527
celebration,n,-0.0945742528
athlete,n,-0.0944998194
expedient,a,-0.0944670206
new-found,a,-0.0944187354
reflective,a,-0.0944104277
reunification,n,-0.0943909905
curator,n,-0.0942479225
brilliant,a,-0.0942441911
gas,n,-0.0942323926
receivable,a,-0.0941947026
tac,n,-0.0941882101
limit,n,-0.0941212551
urgently,r,-0.0940898795
medium,n,-0.0940434229
polite,a,-0.0940150416
sincerest,a,-0.0939411091
pharmacare,n,-0.0939076322
rule,v,-0.0938994942
trial,n,-0.0938590302
relinquish,v,-0.0938482877
recording,n,-0.0937944172
cash,n,-0.0937581071
couple,v,-0.0937457533
rejoin,v,-0.0937270105
admit,v,-0.0935436345
oddly,r,-0.0935213562
back,a,-0.0934996934
methodology,n,-0.0932630678
further,v,-0.0932248036
transfer,v,-0.0932021487
hands-on,a,-0.0932016205
accessory,n,-0.092982332
film,n,-0.0929276028
vindicate,v,-0.0929225676
signatory,a,-0.092917015
anonymity,n,-0.0928999561
undeniable,a,-0.0928565359
weight,n,-0.092828997
venerable,a,-0.0928220981
groundbreaking,a,-0.0927871654
liaison,n,-0.0927500452
register,n,-0.0927189577
sift,v,-0.0927082946
statistical,a,-0.0926674102
over,a,-0.0925141328
breath,n,-0.092441273
insightful,a,-0.0924400383
manage,v,-0.0924244181
maritime,n,-0.0924126638
tenet,n,-0.0922869571
treat,v,-0.0922808805
exercise,v,-0.0921373776
asylum,n,-0.0920520343
clause-by-clause,a,-0.0918578613
fifty-fifty,a,-0.091850083
voting,n,-0.0917203049
contractual,a,-0.0916646775
staffing,n,-0.0916455521
initial,v,-0.0916353569
carrier,n,-0.0916224209
continuum,n,-0.0915232968
exceptional,a,-0.0914688663
normally,r,-0.091335254
corresponding,a,-0.0913277782
feedback,n,-0.091324136
caiss,n,-0.0913062931
maybe,r,-0.0912898695
settle,v,-0.0911396466
structure,v,-0.0911157842
licence,n,-0.0910860634
focus,n,-0.0908715178
equipment,n,-0.0908352654
break-even,a,-0.0908166366
platitude,n,-0.0907965855
millionaire,a,-0.0907370426
drinking,n,-0.0907036624
inquiry,n,-0.0906994677
envelope,n,-0.0906925377
precept,n,-0.0905343033
formally,r,-0.0904755282
wiser,a,-0.090463936
attractive,a,-0.09043269
chairperson,n,-0.0903768827
holistic,a,-0.0903698224
great-grandchild,n,-0.090358724
nisga'a,n,-0.0903365971
disallowance,n,-0.0902900885
respond,v,-0.0902216906
preamble,n,-0.0901388543
entertaining,a,-0.0901348768
greenhouse,n,-0.0901127539
cap,n,-0.0900849078
silver,n,-0.0900481973
theme,n,-0.0900372715
issuance,n,-0.0899647764
deposit,v,-0.0899610501
electoral,a,-0.0899060294
lobbyist,n,-0.0897751959
graciously,r,-0.0897708308
here,r,-0.0897592079
comment,n,-0.0897475676
acquisition,n,-0.0897471451
prove,v,-0.0897252429
ment,n,-0.089643666
sure,r,-0.0896297638
stamp,n,-0.0895669539
award,n,-0.0894494591
all-inclusive,a,-0.0894484666
upgrading,n,-0.0893370422
stake,v,-0.0892924094
mistake,v,-0.0892282469
clearly,r,-0.0892186914
patriation,n,-0.0891351179
golden,a,-0.0891284837
compliment,n,-0.0890726161
journeyman,n,-0.0890393393
profitable,a,-0.0889718125
corporation,n,-0.0887199984
inspirational,a,-0.0886244965
finance,v,-0.0886133692
perfection,n,-0.0885945018
exposition,n,-0.0885549361
harvester,n,-0.0884962013
provisional,a,-0.0884841088
concede,v,-0.0883873174
hydroelectricity,n,-0.0883110549
near,a,-0.0881392729
just,r,-0.088139187
